timestamp,model,num_weeks,basic_profit,llm_profit,graph_path
20251223_211701,xiaomi/mimo-v2-flash:free,52,2078.20,4672.90,profit_comparison_20251223_211701.png
20251223_215845,mistralai/devstral-2512:free,52,1993.30,2319.50,profit_comparison_20251223_215845.png
20251223_230102,kwaipilot/kat-coder-pro:free,52,2046.60,3420.90,profit_comparison_20251223_230102.png
20251223_234019,nvidia/nemotron-3-nano-30b-a3b:free,52,2086.90,5353.85,profit_comparison_20251223_234019.png
20251224_100826,google/gemini-3-flash-preview,52,3675.00,7571.60,profit_comparison_20251224_100826.png
20251224_101736,DEFAULT_MODEL,52,3540.30,3531.10,profit_comparison_DEFAULT_MODEL_20251224_101736.png
20251224_105102,xiaomi/mimo-v2-flash:free,52,-9.50,-22.25,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_105102.png
20251224_105112,xiaomi/mimo-v2-flash:free,52,-26.00,-45.50,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_105112.png
20251224_105119,xiaomi/mimo-v2-flash:free,52,-10.00,-33.00,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_105119.png
20251224_105131,xiaomi/mimo-v2-flash:free,52,-7.75,-29.50,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_105131.png
20251224_105143,google/gemini-2.0-flash-exp:free,52,1455.65,1072.59,profit_comparison_google_gemini-2.0-flash-exp_free_20251224_105143.png
20251224_105547,xiaomi/mimo-v2-flash:free,52,-16.45,4.70,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_105547.png
20251224_105601,xiaomi/mimo-v2-flash:free,52,6.25,19.55,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_105601.png
20251224_182714,xiaomi/mimo-v2-flash:free,52,-11.00,10.65,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_182714.png
20251224_183948,nvidia/nemotron-3-nano-30b-a3b:free,2,15.00,19.70,profit_comparison_nvidia_nemotron-3-nano-30b-a3b_free_20251224_183948.png
20251224_184003,nvidia/nemotron-3-nano-30b-a3b:free,2,-8.40,24.35,profit_comparison_nvidia_nemotron-3-nano-30b-a3b_free_20251224_184003.png
20251224_184345,xiaomi/mimo-v2-flash:free,2,9.05,10.85,profit_comparison_xiaomi_mimo-v2-flash_free_20251224_184345.png
